City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
218,Cheremukhovo,60.3484,59.9851,64.92,80,68,3.22,RU,2022-07-13 22:40:01,broken clouds
219,Port Lincoln,-34.7333,135.8667,51.26,76,3,5.48,AU,2022-07-13 22:40:01,clear sky
220,Isangel,-19.55,169.2667,82.51,78,40,4.61,VU,2022-07-13 22:40:01,scattered clouds
221,Ekpoma,6.7421,6.139,70.47,97,100,4.79,NG,2022-07-13 22:40:02,light rain
222,San Patricio,28.017,-97.5169,96.19,41,15,17.56,US,2022-07-13 22:40:02,few clouds
223,Komsomolskiy,40.4272,71.7189,70.52,56,0,2.3,UZ,2022-07-13 22:39:10,clear sky
224,Port Elizabeth,-33.918,25.5701,61.09,62,0,17.27,ZA,2022-07-13 22:35:21,clear sky
225,Saint-Francois,46.4154,3.9054,69.24,73,0,2.3,FR,2022-07-13 22:40:03,clear sky
226,Kano,12.0001,8.5167,78.69,73,20,12.66,NG,2022-07-13 22:40:04,few clouds
227,Anahuac,27.2333,-100.15,105.13,19,7,11.92,MX,2022-07-13 22:40:04,clear sky
228,Sao Miguel Do Guama,-1.6267,-47.4833,74.14,96,98,4.16,BR,2022-07-13 22:40:05,light rain
229,Disna,55.568,28.1971,51.51,93,26,0.63,BY,2022-07-13 22:40:06,scattered clouds
230,Port Blair,11.6667,92.75,82.44,78,75,11.5,IN,2022-07-13 22:40:07,drizzle
231,Kabansk,52.0486,106.6528,58.01,86,59,2.48,RU,2022-07-13 22:40:07,broken clouds
232,Nanzhang,31.7765,111.8386,83.14,89,100,1.9,CN,2022-07-13 22:39:01,overcast clouds
233,Ahipara,-35.1667,173.1667,55.42,96,100,5.41,NZ,2022-07-13 22:40:07,light rain
234,Krasnyy Chikoy,50.3643,108.7512,60.31,73,79,3.11,RU,2022-07-13 22:40:08,broken clouds
235,Yumen,40.2833,97.2,70.38,36,64,4.88,CN,2022-07-13 22:40:08,broken clouds
236,Tautira,-17.7333,-149.15,76.66,73,49,16.69,PF,2022-07-13 22:40:09,scattered clouds
237,Ilongero,-4.6667,34.8667,55.96,67,44,9.95,TZ,2022-07-13 22:40:09,scattered clouds
238,Suluq,31.6682,20.2521,75.88,65,0,13.98,LY,2022-07-13 22:40:09,clear sky
239,Nuuk,64.1835,-51.7216,54.21,66,20,5.75,GL,2022-07-13 22:40:10,few clouds
240,Araguaina,-7.1911,-48.2072,80.98,38,45,3.42,BR,2022-07-13 22:39:43,scattered clouds
241,Marathon,44.9,-89.7668,78.33,51,20,6.91,US,2022-07-13 22:36:27,few clouds
242,Kodiak,57.79,-152.4072,60.31,67,100,8.05,US,2022-07-13 22:35:29,overcast clouds
243,Farrukhnagar,17.0778,78.2011,69.51,93,100,22.28,IN,2022-07-13 22:40:11,overcast clouds
244,Greeneville,36.1632,-82.831,83.91,77,40,3.44,US,2022-07-13 22:38:20,scattered clouds
245,Lashio,22.9333,97.75,68.31,99,31,1.07,MM,2022-07-13 22:40:12,scattered clouds
246,Vila,42.0304,-8.1588,76.08,67,100,4.99,PT,2022-07-13 22:40:12,overcast clouds
247,Puerto Madero,14.7208,-92.4215,84.56,70,46,4.36,MX,2022-07-13 22:40:12,scattered clouds
248,Rosario Do Sul,-30.2583,-54.9142,48.79,88,0,10.78,BR,2022-07-13 22:40:13,clear sky
249,Cockburn Town,21.4612,-71.1419,85.96,62,40,16.11,TC,2022-07-13 22:40:13,scattered clouds
250,Ambon,-3.6954,128.1814,75.34,94,75,3.44,ID,2022-07-13 22:40:13,moderate rain
251,Sitka,57.0531,-135.33,57.09,82,100,8.05,US,2022-07-13 22:40:14,light rain
252,Tommot,58.9564,126.2925,66.83,86,100,1.28,RU,2022-07-13 22:40:14,overcast clouds
253,Kaele,10.1092,14.4508,74.41,78,100,6.24,CM,2022-07-13 22:40:15,overcast clouds
254,Sisimiut,66.9395,-53.6735,45.72,82,64,7.07,GL,2022-07-13 22:37:21,broken clouds
255,Lagoa,39.05,-27.9833,68.36,93,73,13.44,PT,2022-07-13 22:40:15,broken clouds
256,Minot,48.2325,-101.2963,84.42,39,0,12.66,US,2022-07-13 22:40:16,clear sky
257,Kindu,-2.95,25.95,75.36,62,79,2.01,CD,2022-07-13 22:40:16,broken clouds
258,Te Anau,-45.4167,167.7167,41.52,93,92,1.1,NZ,2022-07-13 22:38:38,overcast clouds
259,Poronaysk,49.2167,143.1167,58.1,89,100,5.99,RU,2022-07-13 22:40:17,overcast clouds
260,Bud,39.447,-86.1758,89.58,62,2,7.78,US,2022-07-13 22:40:17,clear sky
261,Hualmay,-11.0964,-77.6139,62.33,80,16,12.33,PE,2022-07-13 22:40:18,few clouds
262,Leshukonskoye,64.8989,45.7622,64.11,84,75,4.88,RU,2022-07-13 22:40:18,broken clouds
263,Verkh-Suetka,53.3,80.05,53.65,77,86,5.64,RU,2022-07-13 22:40:18,overcast clouds
